there .	where ?
you have my word . as a gentleman	you re sweet .
hi .	looks like things worked out tonight huh ?
you know chastity ?	i believe we share an art instructor
have fun tonight ?	tons
well no . . .	then that s all you had to say .
then that s all you had to say .	but
but	you always been this selfish ?
do you listen to this crap ?	what crap ?
what good stuff ?	the real you .
the real you .	like my fear of wearing pastels ?
wow	let s go .
she okay ?	i hope so .
they do to !	they do not !
did you change your hair ?	no .
no .	you might wanna think about it
who ?	joey .
great	would you mind getting me a drink cameron ?
it s more	expensive ?
hey sweet cheeks .	hi joey .
where ve you been ?	nowhere . . . hi daddy .
you are so completely unbalanced .	can we go now ?
what ?	in th . for a month
in th . for a month	why ?
why ?	he was like a total babe
he was like a total babe	but you hate joey
you looked beautiful last night you know .	so did you
let go !	you set me up .
you set me up .	i just wanted
patrick is that a .	perm ?
but she doesn t want to date .	exactly my point
daddy i	and where re you going ?
oh god . it s starting .	it s just a party . daddy .
wear the belly before you go .	daddy no !
daddy no !	just for a minute
why ?	because she ll scare them away .
the prom ? kat has a date ?	no but
you the new guy ?	so they tell me . . .
so which dakota you from ?	north actually . how d you ?
north actually . how d you ?	i was kidding . people actually live there ?
how many people were in your old school ?	thirty two .
thirty two .	get out !
get out !	how many people go here ?
how many people go here ?	couple thousand . most of them evil
that girl i	you burn you pine you perish ?
you burn you pine you perish ?	who is she ?
yeah just a minor encounter with the shrew .	that s her ? bianca s sister ?
that s her ? bianca s sister ?	the mewling rampalian wretch herself .
what about him ?	you wanna go out with him ?
what makes you think he ll do it ?	he seems like he thrives on danger
number one . she hates smokers	it s a lung cancer issue
it s a lung cancer issue	her favorite uncle
her favorite uncle	dead at forty one .
he s pretty !	okay ! i wasn t sure
assail your ears for one night .	it s her favorite band .
gigglepuss is playing there tomorrow night .	don t make me do it man
cameron i m a little busy	it s off . the whole thing .
what re you talking about ?	she s partial to joey not me
cameron do you like the girl ?	sure
sure	then go get her
you makin any headway ?	she kissed me .
she kissed me .	where ?
what s the worst ?	you get the girl .
hey do you mind ?	not at all
where ya goin ?	away .
away .	your sister here ?
